Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Baseline,391276.75,392330.34,172115.44,1053.59,6,10.09,95,-162.39,104.58,1010.85,172,0.03,8312049199831.78,418519.98,332384.28,300417.58,128851.26,1000,115383676,1,,,,,,
Sequential,463631.60,467727.96,870196.99,4096.35,5,40.38,120,46.93,150.75,1027.18,1,0.00,8869181238828.12,463631.60,463631.60,870196.99,870196.99,2000,115383676,1,0.00,0.00,1000.00,1000.00,467727.96,
Proposed,458066.36,462054.39,657250.39,3988.03,6,38.53,95,-1924.71,753.52,1318.59,297,0.03,8985897029306.60,462364.42,449207.80,839421.66,563082.13,2000,115383676,1,0.00,0.00,1000.00,1000.00,,30.00
