# X_COORDS, Y_COORDS
1824.5335 873.3176
267.6325 5067.5375
3243.6631 1137.4210
651.7719 3178.4869
2909.3540 5386.6318
820.7332 113.9254
121.3522 5852.6310
2596.7158 2238.1142
3490.1306 4532.5476
2.6805 653.4643
2146.5469 4841.8109
3702.0008 427.3111
477.2681 4045.6365
3861.0684 2002.6230
1370.1776 4273.8256
1057.4045 5650.2104
2397.9497 3662.0906
3947.4908 5173.0972
547.6399 2599.6072
3793.3100 5998.0162
