Solution,AEP_Liquido_MWh,Custo_USD,Perdas_Joule_MWh,N_Grupos,File
496,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_496_coords.txt
495,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_495_coords.txt
494,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_494_coords.txt
493,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_493_coords.txt
492,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_492_coords.txt
491,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_491_coords.txt
490,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_490_coords.txt
489,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_489_coords.txt
488,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_488_coords.txt
487,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_487_coords.txt
486,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_486_coords.txt
485,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_485_coords.txt
484,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_484_coords.txt
483,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_483_coords.txt
482,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_482_coords.txt
481,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_481_coords.txt
32,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_32_coords.txt
31,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_31_coords.txt
30,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_30_coords.txt
29,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_29_coords.txt
28,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_28_coords.txt
27,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_27_coords.txt
26,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_26_coords.txt
25,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_25_coords.txt
24,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_24_coords.txt
23,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_23_coords.txt
22,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_22_coords.txt
21,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_21_coords.txt
20,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_20_coords.txt
19,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_19_coords.txt
18,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_18_coords.txt
17,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_17_coords.txt
48,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_48_coords.txt
47,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_47_coords.txt
46,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_46_coords.txt
45,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_45_coords.txt
44,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_44_coords.txt
43,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_43_coords.txt
42,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_42_coords.txt
41,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_41_coords.txt
40,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_40_coords.txt
39,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_39_coords.txt
38,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_38_coords.txt
37,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_37_coords.txt
36,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_36_coords.txt
35,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_35_coords.txt
34,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_34_coords.txt
33,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_33_coords.txt
64,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_64_coords.txt
63,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_63_coords.txt
62,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_62_coords.txt
61,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_61_coords.txt
60,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_60_coords.txt
59,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_59_coords.txt
58,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_58_coords.txt
57,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_57_coords.txt
56,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_56_coords.txt
55,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_55_coords.txt
54,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_54_coords.txt
53,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_53_coords.txt
52,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_52_coords.txt
51,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_51_coords.txt
50,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_50_coords.txt
49,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_49_coords.txt
80,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_80_coords.txt
79,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_79_coords.txt
78,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_78_coords.txt
77,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_77_coords.txt
76,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_76_coords.txt
75,1444280.11,2298826.80,43178.46,4,pareto_front_results_64/solution_75_coords.txt
