Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,LCOE_Proxy_USD_MWh,Gross_AEP_GWh,Wake_Loss_Percentage,Electrical_Loss_Percentage,Electrical_Loss_MWh,Total_Cable_Length_km,Substation_Eccentricity_m,Num_Cable_Strings,Avg_Turbines_Per_String,Std_Turbines_Per_String,Cable_Sections_Used,Time_Total_s,Time_Phase1_s,Time_Phase2_s,Final_Hypervolume,Pareto_Spread,Num_Solutions_Pareto,Feasibility_Rate_Final
8,499085549,Sequential,64,1472.415878,4538142.921457,3.082107,1520.700771,0.000000,3.175174,48284.892148,105.301905,248.570587,5,12.800000,0.400000,,3377.773639,0.000000,0.000000,25378488418306.367188,0.000000,1,100.000000
8,499085549,Proposed,64,1478.927500,1893752.673109,1.280491,1487.831484,0.000000,0.598454,8903.983621,150.669986,0.000000,48,1.333333,0.471405,,2751.733570,0.000000,0.000000,23016008192845.421875,0.000000,2,100.000000
9,1490318053,Baseline,64,1287.554470,1500407.104221,1.165315,1294.487413,0.000000,0.535574,6932.943093,119.374785,50.000000,48,1.333333,0.471405,,4524.557336,0.000000,0.000000,6779932079368.818359,0.000000,18,100.000000
9,1490318053,Sequential,64,1483.893468,4107851.789720,2.768293,1531.570767,0.000000,3.112967,47677.299246,95.317540,917.335459,5,12.800000,0.400000,,3360.603035,0.000000,0.000000,25072907934436.257812,0.000000,1,100.000000
9,1490318053,Proposed,64,1466.740695,1982339.963607,1.351527,1475.790426,0.000000,0.613212,9049.730648,157.718132,0.000000,48,1.333333,0.471405,,2537.776989,0.000000,0.000000,22483730930919.695312,0.000000,2,100.000000
10,794351341,Baseline,64,1282.805995,2962524.634062,2.309410,1320.145540,0.000000,2.828442,37339.544702,68.741662,845.419252,5,12.800000,0.400000,,6550.234452,0.000000,0.000000,23509598215258.992188,0.063388,297,100.000000
10,794351341,Sequential,64,1476.476276,4227608.987824,2.863310,1518.964911,0.000000,2.797210,42488.635303,98.096355,964.429130,5,12.800000,0.400000,,3358.454096,0.000000,0.000000,25638344106892.687500,0.000000,1,100.000000
10,794351341,Proposed,64,1496.501748,1941888.314514,1.297618,1506.257790,0.000000,0.647701,9756.041155,154.499735,0.000000,46,1.391304,0.488042,,2599.360862,0.000000,0.000000,22323818183596.769531,0.000000,1,100.000000
11,1376368675,Baseline,64,1314.368933,3191596.445784,2.428235,1352.311665,0.000000,2.805768,37942.731613,74.056986,666.221981,5,12.800000,0.400000,,6533.733244,0.000000,0.000000,23479720537261.105469,0.301169,22,100.000000
11,1376368675,Sequential,64,1496.963202,4756779.528949,3.177620,1544.168444,0.000000,3.057001,47205.241889,110.375093,522.056293,5,12.800000,0.400000,,3362.174392,0.000000,0.000000,25612517460481.410156,0.000000,1,100.000000
