Run_ID,Method,Solution_ID,Net_AEP_GWh,Total_Cost_USD,Wake_Loss_Percentage,Electrical_Loss_Percentage,Num_Strings
4,Baseline,23,1287.554470,1500407.104221,0.000000,0.535574,48
4,Proposed,0,1503.159570,1942858.292830,0.000000,0.667186,45
4,Proposed,1,1489.778706,1945834.186609,0.000000,0.669147,45
4,Proposed,2,1489.287139,1909297.474208,0.000000,0.676648,44
4,Proposed,3,1474.755904,1908377.691413,0.000000,0.696357,43
4,Proposed,4,1479.771642,1885731.983704,0.000000,0.672756,43
5,Baseline,0,1324.419260,3109175.417039,0.000000,2.622646,5
5,Baseline,1,1292.090431,3300183.505884,0.000000,2.824032,5
5,Baseline,2,1292.437399,3331122.881289,0.000000,2.653528,5
5,Proposed,0,1468.433343,1937523.140191,0.000000,0.698153,43
6,Baseline,0,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,1,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,2,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,3,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,4,1287.607691,1510232.603844,0.000000,0.531463,49
6,Baseline,5,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,6,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,7,1287.607691,1510232.603844,0.000000,0.531463,49
6,Baseline,8,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,9,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,10,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,11,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,12,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,13,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,14,1287.607691,1510232.603844,0.000000,0.531463,49
6,Baseline,15,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,16,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,17,1287.554470,1500407.104221,0.000000,0.535574,48
6,Baseline,18,1287.554470,1500407.104221,0.000000,0.535574,48
6,Proposed,0,1497.422649,2019673.646835,0.000000,0.690994,43
7,Baseline,0,1338.865930,2946454.167206,0.000000,1.900961,6
7,Baseline,1,1338.865930,2946454.167206,0.000000,1.900961,6
7,Baseline,2,1318.595091,2685623.688996,0.000000,2.556972,5
7,Baseline,3,1318.595091,2685623.688996,0.000000,2.556972,5
7,Baseline,4,1327.022799,2691077.911233,0.000000,1.934171,6
7,Baseline,5,1327.022799,2691077.911233,0.000000,1.934171,6
7,Baseline,6,1306.668824,3064893.877168,0.000000,2.680632,5
7,Baseline,7,1306.668824,3064893.877168,0.000000,2.680632,5
7,Baseline,8,1290.048951,2745128.792590,0.000000,2.817443,5
7,Baseline,9,1290.048951,2745128.792590,0.000000,2.817443,5
7,Baseline,10,1290.048951,2745128.792590,0.000000,2.817443,5
7,Baseline,11,1290.048951,2745128.792590,0.000000,2.817443,5
7,Proposed,0,1527.437718,2305837.561438,0.000000,0.598742,52
7,Proposed,1,1500.304074,2061671.239347,0.000000,0.660768,47
7,Proposed,2,1493.329144,1938368.830319,0.000000,0.724733,43
7,Proposed,3,1482.555606,1752866.438016,0.000000,0.734730,42
7,Proposed,4,1465.069576,1756306.518945,0.000000,0.697149,41
8,Baseline,0,1287.607691,1510232.603844,0.000000,0.531463,49
8,Baseline,1,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,2,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,3,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,4,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,5,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,6,1287.607691,1510232.603844,0.000000,0.531463,49
8,Baseline,7,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,8,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,9,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,10,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,11,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,12,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,13,1287.607691,1510232.603844,0.000000,0.531463,49
8,Baseline,14,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,15,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,16,1287.607691,1510232.603844,0.000000,0.531463,49
8,Baseline,17,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,18,1287.554470,1500407.104221,0.000000,0.535574,48
8,Baseline,19,1287.607691,1510232.603844,0.000000,0.531463,49
8,Proposed,0,1478.927500,1893752.673109,0.000000,0.598454,48
8,Proposed,1,1461.533054,1828123.732177,0.000000,0.666224,42
9,Baseline,0,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,1,1287.607691,1510232.603844,0.000000,0.531463,49
9,Baseline,2,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,3,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,4,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,5,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,6,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,7,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,8,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,9,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,10,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,11,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,12,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,13,1287.607691,1510232.603844,0.000000,0.531463,49
9,Baseline,14,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,15,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,16,1287.554470,1500407.104221,0.000000,0.535574,48
9,Baseline,17,1287.554470,1500407.104221,0.000000,0.535574,48
9,Proposed,0,1466.740695,1982339.963607,0.000000,0.613212,48
9,Proposed,1,1481.745903,1877444.168823,0.000000,0.669439,41
10,Baseline,0,1306.932601,3352760.540663,0.000000,2.894818,5
10,Baseline,1,1306.932601,3352760.540663,0.000000,2.894818,5
10,Baseline,2,1282.805995,2962524.634062,0.000000,2.828442,5
10,Baseline,3,1282.805995,2962524.634062,0.000000,2.828442,5
10,Baseline,4,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,5,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,6,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,7,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,8,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,9,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,10,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,11,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,12,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,13,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,14,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,15,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,16,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,17,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,18,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,19,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,20,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,21,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,22,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,23,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,24,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,25,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,26,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,27,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,28,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,29,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,30,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,31,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,32,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,33,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,34,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,35,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,36,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,37,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,38,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,39,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,40,1303.415342,3042602.789382,0.000000,2.789989,5
10,Baseline,41,1303.415342,3042602.789382,0.000000,2.789989,5
