Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,LCOE_Proxy_USD_MWh,Gross_AEP_GWh,Wake_Loss_Percentage,Electrical_Loss_Percentage,Electrical_Loss_MWh,Total_Cable_Length_km,Substation_Eccentricity_m,Num_Cable_Strings,Avg_Turbines_Per_String,Std_Turbines_Per_String,Cable_Sections_Used,Time_Total_s,Time_Phase1_s,Time_Phase2_s,Final_Hypervolume,Pareto_Spread,Num_Solutions_Pareto,Feasibility_Rate_Final
1,613142605,Baseline,36,835.322440,692455.145745,0.828967,840.130631,0.000000,0.572315,4808.190797,32.133819,299.949224,9,4.000000,0.000000,,2524.192719,0.000000,0.000000,16556172663159.757812,0.032494,300,100.000000
1,613142605,Sequential,36,945.451200,1214265.483048,1.284324,954.849288,0.000000,0.984248,9398.087997,56.348759,408.366864,9,4.000000,0.000000,,1279.733738,0.000000,0.000000,17540237580349.740234,0.000000,1,100.000000
1,613142605,Proposed,36,937.803811,1089500.445928,1.161757,943.751359,0.000000,0.630203,5947.547899,121.345378,0.000000,36,1.000000,0.000000,,1158.634859,0.000000,0.000000,17021022945907.564453,0.057824,4,100.000000
2,1062191415,Baseline,36,838.249489,854035.274331,1.018832,842.979200,0.000000,0.561071,4729.710807,31.706652,347.037471,8,4.500000,0.500000,,2573.118434,0.000000,0.000000,16407456023014.691406,0.038802,288,100.000000
2,1062191415,Sequential,36,946.721001,1189093.120528,1.256012,955.744453,0.000000,0.944128,9023.451197,55.180619,822.099101,9,4.000000,0.000000,,1284.483608,0.000000,0.000000,17529808698685.607422,0.000000,1,100.000000
2,1062191415,Proposed,36,946.207979,1090704.717799,1.152711,952.162101,0.000000,0.625327,5954.121980,121.479506,0.000000,36,1.000000,0.000000,,1350.662528,0.000000,0.000000,17722934160879.070312,0.429983,8,100.000000
3,1682041335,Baseline,36,831.670850,789450.353503,0.949234,835.816760,0.000000,0.496031,4145.909894,36.634943,243.511910,11,3.272727,0.445362,,2476.820648,0.000000,0.000000,16084836382260.908203,0.047933,300,100.000000
3,1682041335,Sequential,36,944.437831,2005545.892297,2.123534,952.690907,0.000000,0.866291,8253.075257,60.370143,448.640258,7,5.142857,0.349927,,1300.025480,0.000000,0.000000,16994643215731.607422,0.000000,1,100.000000
3,1682041335,Proposed,36,932.667755,2771151.316514,2.971210,943.525934,0.000000,1.150809,10858.179625,64.301085,125.419622,5,7.200000,0.400000,,1263.276377,0.000000,0.000000,17738920637729.359375,0.054376,232,100.000000
4,150091470,Baseline,36,845.651754,637051.833160,0.753326,850.344245,0.000000,0.551834,4692.491036,37.342162,337.396554,12,3.000000,0.000000,,2504.338471,0.000000,0.000000,16310085440365.136719,0.065722,300,100.000000
4,150091470,Sequential,36,943.319351,2847048.937046,3.018118,954.746784,0.000000,1.196907,11427.432058,66.062194,213.925112,5,7.200000,0.400000,,1326.271443,0.000000,0.000000,17233898096235.091797,0.000000,1,100.000000
4,150091470,Proposed,36,946.367259,1064188.673914,1.124499,952.176631,0.000000,0.610115,5809.371749,118.526227,0.000000,36,1.000000,0.000000,,1162.333198,0.000000,0.000000,16979380172888.710938,0.041627,3,100.000000
5,2047737084,Baseline,36,837.511190,734003.589882,0.876410,841.906582,0.000000,0.522076,4395.391126,34.061901,522.641612,10,3.600000,0.489898,,2499.026459,0.000000,0.000000,16331470042852.146484,0.044277,300,100.000000
5,2047737084,Sequential,36,944.493494,1826940.380029,1.934307,954.157824,0.000000,1.012865,9664.330704,54.993831,221.887882,6,6.000000,0.000000,,1326.801863,0.000000,0.000000,17164336568262.412109,0.000000,1,100.000000
5,2047737084,Proposed,36,938.944219,1066611.944065,1.135969,944.766819,0.000000,0.616300,5822.600303,118.796123,0.000000,36,1.000000,0.000000,,1163.130341,0.000000,0.000000,16801935836300.794922,0.138850,4,100.000000
6,555175080,Baseline,36,840.835707,856028.018724,1.018068,845.717483,0.000000,0.577235,4881.775883,31.780634,705.258211,8,4.500000,0.500000,,2575.515749,0.000000,0.000000,16416654526211.798828,0.049453,298,100.000000
6,555175080,Sequential,36,953.119895,1577510.157173,1.655101,962.054252,0.000000,0.928675,8934.357107,58.566158,266.651630,8,4.500000,0.500000,,1285.447708,0.000000,0.000000,17558841589089.044922,0.000000,1,100.000000
6,555175080,Proposed,36,939.826151,1030064.879916,1.096016,945.449242,0.000000,0.594753,5623.091055,114.725618,0.000000,36,1.000000,0.000000,,1159.710154,0.000000,0.000000,16938108011449.078125,0.245885,4,100.000000
7,896397869,Baseline,36,856.938992,1596000.564811,1.862444,863.141904,0.000000,0.718643,6202.911721,37.033188,224.501506,5,7.200000,0.400000,,2578.075256,0.000000,0.000000,16681127726359.980469,0.030407,274,100.000000
7,896397869,Sequential,36,947.918355,1775495.866994,1.873047,955.902415,0.000000,0.835238,7984.060210,53.445269,269.522278,7,5.142857,0.349927,,1304.093754,0.000000,0.000000,17275341974651.978516,0.000000,1,100.000000
