Run_ID,Seed,Method,Turbine_Count,Net_AEP_GWh,Total_Cost_USD,LCOE_Proxy_USD_MWh,Gross_AEP_GWh,Wake_Loss_Percentage,Electrical_Loss_Percentage,Electrical_Loss_MWh,Total_Cable_Length_km,Substation_Eccentricity_m,Num_Cable_Strings,Avg_Turbines_Per_String,Std_Turbines_Per_String,Cable_Sections_Used,Time_Total_s,Time_Phase1_s,Time_Phase2_s,Final_Hypervolume,Pareto_Spread,Num_Solutions_Pareto,Feasibility_Rate_Final
1,431964317,Baseline,16,416.829246,206243.577918,0.494792,417.955123,0.000000,0.269377,1125.877060,22.970807,282.723012,16,1.000000,0.000000,,565.453624,0.000000,0.000000,8444274364475.784180,0.027262,282,100.000000
1,431964317,Sequential,16,464.617333,537124.005762,1.156057,467.549476,0.000000,0.627130,2932.142675,59.823303,754.306877,16,1.000000,0.000000,,285.468927,0.000000,0.000000,8968568647756.039062,0.000000,1,100.000000
1,431964317,Proposed,16,459.060264,480974.927066,1.047738,461.685891,0.000000,0.568704,2625.626660,53.569583,325.313006,16,1.000000,0.000000,,359.593029,0.000000,0.000000,9069105329486.136719,0.034691,295,100.000000
2,1423963521,Baseline,16,411.604751,202881.439197,0.492904,412.712274,0.000000,0.268352,1107.523252,22.596342,305.712448,16,1.000000,0.000000,,557.460067,0.000000,0.000000,8433915645206.124023,0.027720,285,100.000000
2,1423963521,Sequential,16,462.648905,606340.413669,1.310584,466.388402,0.000000,0.801799,3739.496946,48.241411,405.640498,9,1.777778,0.415740,,299.382583,0.000000,0.000000,8799275519953.707031,0.000000,1,100.000000
2,1423963521,Proposed,16,459.412509,558500.926819,1.215685,462.461348,0.000000,0.659263,3048.838600,62.204202,476.124071,16,1.000000,0.000000,,344.957920,0.000000,0.000000,8972689004880.607422,0.051288,293,100.000000
3,2063841602,Baseline,16,402.983875,176221.890672,0.437293,403.945865,0.000000,0.238148,961.989634,19.627080,183.397296,16,1.000000,0.000000,,567.152897,0.000000,0.000000,8349178418410.509766,0.024951,298,100.000000
3,2063841602,Sequential,16,463.871126,720166.291084,1.552514,466.420840,0.000000,0.546655,2549.714500,57.297580,488.005704,14,1.142857,0.349927,,292.128499,0.000000,0.000000,8921879588086.455078,0.000000,1,100.000000
3,2063841602,Proposed,16,461.959603,532872.829032,1.153505,464.868538,0.000000,0.625754,2908.935638,59.349819,0.000000,16,1.000000,0.000000,,338.545367,0.000000,0.000000,8856025838170.617188,0.239537,6,100.000000
4,1733343714,Baseline,16,403.053892,188176.098196,0.466876,404.081139,0.000000,0.254218,1027.247269,20.958504,231.930189,16,1.000000,0.000000,,569.661709,0.000000,0.000000,8494262030550.124023,0.030058,295,100.000000
4,1733343714,Sequential,16,464.233733,568091.216425,1.223718,467.334925,0.000000,0.663591,3101.191682,63.272341,468.789202,16,1.000000,0.000000,,278.002643,0.000000,0.000000,9005846251938.835938,0.000000,1,100.000000
