Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Baseline,394250.88,395290.94,173493.77,1040.07,6,10.17,95,-222.01,-145.58,33.50,98,0.05,8182736355663.33,412160.03,358902.64,231323.72,141542.55,400,288936686,1,,,,,,
Sequential,459719.95,462407.20,486946.70,2687.25,6,28.54,95,-694.83,-176.05,16.33,1,0.00,8970539931039.06,459719.95,459719.95,486946.70,486946.70,400,288936686,1,0.00,0.00,200.00,200.00,462407.20,
Proposed,452379.96,457045.12,704813.34,4665.17,4,32.71,120,-3718.62,478.55,24.46,94,0.08,8840519388566.74,457515.78,443928.61,731628.24,676024.27,400,288936686,1,0.00,0.00,200.00,200.00,,30.00
Sequential,445912.80,447384.37,424491.18,1471.57,5,19.70,120,26.14,172.14,16.95,0,0,1,0.00,8728969990402.35,445912.80,445912.80,424491.18,424491.18,400,200,200,447384.37,528104836,2,
Proposed,443820.35,447364.60,652421.33,3544.25,4,30.28,120,-2083.00,570.11,22.58,0,0,100,0.09,8714095505125.64,443945.88,421498.71,911866.77,361199.09,400,200,200,,528104836,2,30.00
