Run_ID,Method,Generation,Hypervolume,Pop_Feasibility_Rate,Pop_Diversity_AEP,Pop_Diversity_Cost
1,Baseline,20,7664327646374.465820,100.000000,3149.483462,13006.606418
1,Baseline,40,7772431599108.203125,100.000000,4042.860313,12509.881020
1,Baseline,60,7803412869049.700195,100.000000,13818.432069,38387.682045
1,Baseline,80,7832163653169.104492,100.000000,6688.257541,17374.313786
1,Baseline,100,8002463024217.831055,100.000000,5757.208474,11274.078297
1,Baseline,120,8011800918947.632812,100.000000,13251.493839,27514.869403
1,Baseline,140,8079666622791.803711,100.000000,10391.284523,18588.352860
1,Baseline,160,8079666622791.803711,100.000000,10391.284523,18588.352860
1,Baseline,180,8079680316483.207031,100.000000,10820.920855,19274.832861
1,Baseline,200,8079680316483.207031,100.000000,10820.920855,19274.832861
1,Baseline,220,8079697260157.921875,100.000000,10326.170674,18133.785596
1,Baseline,240,8079703491642.172852,100.000000,10795.174378,18775.712644
1,Baseline,260,8079703491642.172852,100.000000,10795.174378,18775.712644
1,Baseline,280,8079711881691.870117,100.000000,10757.583765,18672.337989
1,Baseline,300,8079711881691.870117,100.000000,10757.583765,18672.337989
1,Baseline,320,8079732696232.807617,100.000000,11274.271260,19718.594532
1,Baseline,340,8079732696232.807617,100.000000,11274.271260,19718.594532
1,Baseline,360,8079732696232.807617,100.000000,11274.271260,19718.594532
1,Baseline,380,8079732917529.468750,100.000000,11331.184225,19738.243645
1,Baseline,400,8080900396433.546875,100.000000,10528.085810,35097.061622
1,Baseline,420,8091568851885.118164,100.000000,10667.743378,17086.958415
1,Baseline,440,8227725487434.890625,100.000000,13676.039320,24570.382554
1,Baseline,460,8227763200802.523438,100.000000,11669.670587,22700.477392
1,Baseline,480,8227773957787.262695,100.000000,11658.297252,22724.772392
1,Baseline,500,8243653880023.549805,100.000000,12918.249314,24684.141033
1,Baseline,520,8247049337752.659180,100.000000,13415.243527,37661.218385
1,Baseline,540,8247108095693.516602,100.000000,12393.791295,35108.409689
1,Baseline,560,8247108095693.516602,100.000000,12393.791295,35108.409689
1,Baseline,580,8247108095693.516602,100.000000,12393.791295,35108.409689
1,Baseline,600,8249508616680.023438,100.000000,22829.491549,51569.616604
1,Baseline,620,8250591540819.934570,100.000000,14448.002067,38678.895039
1,Baseline,640,8250596116689.425781,100.000000,14447.941387,38669.133416
1,Baseline,660,8330872752600.186523,100.000000,19325.574015,34452.627863
1,Baseline,680,8330932537410.542969,100.000000,20201.730006,29532.316000
1,Baseline,700,8330953322662.789062,100.000000,20673.805771,30194.691344
1,Baseline,720,8331336330987.253906,100.000000,16778.614832,35791.500648
1,Baseline,740,8331336330987.253906,100.000000,16778.614832,35791.500648
1,Baseline,760,8331336331468.347656,100.000000,16783.957582,35793.384364
1,Baseline,780,8331376496431.564453,100.000000,16748.006058,35699.169299
1,Baseline,800,8331376496431.564453,100.000000,16748.006058,35699.169299
1,Baseline,820,8331376496431.564453,100.000000,16748.006058,35699.169299
1,Baseline,840,8331376496431.564453,100.000000,16748.006058,35699.169299
1,Baseline,860,8331376496431.564453,100.000000,16748.006058,35699.169299
1,Baseline,880,8331377508804.325195,100.000000,16776.827720,35851.931030
1,Baseline,900,8331377508804.325195,100.000000,16776.827720,35851.931030
1,Baseline,920,8331377766245.066406,100.000000,16772.698105,35840.961398
1,Baseline,940,8331384809558.070312,100.000000,16762.340341,35808.920254
1,Baseline,960,8331464957170.050781,100.000000,16776.197437,35858.529992
1,Baseline,980,8331464957170.050781,100.000000,16776.197437,35858.529992
1,Baseline,1000,8331494201178.032227,100.000000,15820.432013,34126.195226
1,Baseline,1020,8331494201178.032227,100.000000,16139.441888,34771.237882
1,Baseline,1040,8331502787240.300781,100.000000,16193.654913,35396.928904
1,Baseline,1060,8331502787240.300781,100.000000,16193.654913,35396.928904
1,Baseline,1080,8331502787240.300781,100.000000,16193.654913,35396.928904
1,Baseline,1100,8331503724642.162109,100.000000,16187.850604,35392.455856
1,Baseline,1120,8331504007324.367188,100.000000,16469.340984,36092.615490
1,Baseline,1140,8331505415558.038086,100.000000,16464.749336,36088.415926
1,Baseline,1160,8331505415558.038086,100.000000,16464.749336,36088.415926
1,Baseline,1180,8331505415558.038086,100.000000,16464.749336,36088.415926
1,Baseline,1200,8331505576956.721680,100.000000,16715.109880,36700.513851
1,Baseline,1220,8331576170744.326172,100.000000,16810.751630,37184.911195
1,Baseline,1240,8331576170744.326172,100.000000,16810.751630,37184.911195
1,Baseline,1260,8331682358665.819336,100.000000,15421.757574,33796.089997
1,Baseline,1280,8331682505101.391602,100.000000,15416.315681,33783.487949
1,Baseline,1300,8331682505101.391602,100.000000,15416.315681,33783.487949
1,Baseline,1320,8331726523016.986328,100.000000,16055.831752,35198.024470
1,Baseline,1340,8331726523016.986328,100.000000,16055.831752,35198.024470
1,Baseline,1360,8331727121716.597656,100.000000,16060.194543,35244.711276
1,Baseline,1380,8331727276829.741211,100.000000,16342.801220,35919.925908
1,Baseline,1400,8331727276829.741211,100.000000,16342.801220,35919.925908
1,Baseline,1420,8331727276829.741211,100.000000,16342.801220,35919.925908
1,Baseline,1440,8331727353623.937500,100.000000,16342.814832,35919.863215
1,Baseline,1460,8331727353623.937500,100.000000,16342.814832,35919.863215
1,Baseline,1480,8347907430636.644531,100.000000,22627.801836,33510.283257
1,Baseline,1500,8347959626183.477539,100.000000,22731.102276,33459.985329
1,Baseline,1520,8348582460241.554688,100.000000,29902.612013,48474.267073
1,Baseline,1540,8348582460241.554688,100.000000,14509.436900,36694.755910
1,Baseline,1560,8348582460241.554688,100.000000,14509.436900,36694.755910
1,Baseline,1580,8348582460241.554688,100.000000,14509.436900,36694.755910
1,Baseline,1600,8348582460241.554688,100.000000,14509.436900,36694.755910
1,Baseline,1620,8348585053025.791016,100.000000,14507.814737,36710.198126
1,Baseline,1640,8361045217499.531250,100.000000,22168.813901,43471.776377
1,Baseline,1660,8361047417745.488281,100.000000,20307.109934,36492.261622
1,Baseline,1680,8361064234107.030273,100.000000,20305.987504,36496.321843
1,Baseline,1700,8404094215584.857422,100.000000,23417.011421,44556.697737
1,Baseline,1720,8404746286096.007812,100.000000,16208.651941,22403.809864
1,Baseline,1740,8404831813271.871094,100.000000,24687.994212,41175.542372
1,Baseline,1760,8404837720711.640625,100.000000,19421.106197,48844.652358
1,Baseline,1780,8404837720711.640625,100.000000,19421.106197,48844.652358
1,Baseline,1800,8404898807282.345703,100.000000,19413.352033,49097.758569
1,Baseline,1820,8404898807282.345703,100.000000,19413.352033,49097.758569
1,Baseline,1840,8404898807282.345703,100.000000,19413.352033,49097.758569
1,Baseline,1860,8404915107573.400391,100.000000,19418.272542,49013.623092
1,Baseline,1880,8404921902036.025391,100.000000,19459.664731,49519.201343
1,Baseline,1900,8404925099128.267578,100.000000,19464.447193,49770.851889
1,Baseline,1920,8444185893528.906250,100.000000,21579.703679,53747.599813
1,Baseline,1940,8444268310561.214844,100.000000,25440.597947,33911.257116
1,Baseline,1960,8444274364475.784180,100.000000,25458.794296,33907.313192
1,Baseline,1980,8444274364475.784180,100.000000,25458.794296,33907.313192
1,Baseline,2000,8444274364475.784180,100.000000,25458.794296,33907.313192
1,Proposed,20,8916116793087.976562,100.000000,1449.206640,19865.174195
1,Proposed,40,8916116793087.976562,100.000000,1178.292680,18704.177483
1,Proposed,60,8916116793087.976562,100.000000,1093.675865,16072.876857
1,Proposed,80,8916116793087.976562,100.000000,1172.424567,16313.534952
1,Proposed,100,8916116793087.976562,100.000000,1263.401888,16207.919240
1,Proposed,120,8916116793087.976562,100.000000,1374.758666,14258.830909
1,Proposed,140,8916116793087.976562,100.000000,771.757717,13313.386070
1,Proposed,160,8916116793087.976562,100.000000,738.696707,12060.340099
1,Proposed,180,8916116793087.976562,100.000000,705.009033,12747.121553
1,Proposed,200,8971306383252.228516,100.000000,784.535637,5725.238039
1,Proposed,220,8981403223104.380859,100.000000,669.849269,37967.850748
1,Proposed,240,8991253517527.439453,100.000000,702.632847,2416.427754
1,Proposed,260,9004277895676.423828,100.000000,672.189306,3680.994042
1,Proposed,280,9004510446797.962891,100.000000,1094.129012,4349.188500
1,Proposed,300,9006959947425.404297,100.000000,1325.782476,5041.807104
1,Proposed,320,9009742904095.306641,100.000000,1522.319029,6024.933361
1,Proposed,340,9011082883442.466797,100.000000,1495.766625,6791.830485
1,Proposed,360,9012651828128.736328,100.000000,2008.745089,8685.368880
1,Proposed,380,9015722833686.634766,100.000000,2214.504979,9398.620685
1,Proposed,400,9022923474547.138672,100.000000,2225.725026,83652.749827
1,Proposed,420,9023893127192.728516,100.000000,2338.830769,63123.602904
1,Proposed,440,9023911621920.109375,100.000000,2234.904350,56829.971288
1,Proposed,460,9028964655902.830078,100.000000,1103.721902,53743.821886
