Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Baseline,415055.02,416377.51,204469.02,1322.49,8,16.27,70,-303.67,460.55,595.49,289,0.02,8608798984643.59,433333.68,342506.05,397475.20,121616.38,2000,2049764414,1,,,,,,
Sequential,463316.13,467372.36,712852.04,4056.23,6,41.79,95,-583.28,-529.86,310.28,1,0.00,8936046729059.55,463316.13,463316.13,712852.04,712852.04,2000,2049764414,1,0.00,0.00,1000.00,1000.00,467372.36,
Proposed,456508.84,460283.65,592747.80,3774.81,6,34.75,95,-1084.52,-1065.47,402.31,296,0.03,8985405741052.62,461710.00,444919.51,857483.20,536574.98,2000,2049764414,1,0.00,0.00,1000.00,1000.00,,30.00
Baseline,392155.68,393148.28,163744.71,992.60,6,9.60,95,3.75,173.73,601.16,283,0.03,8521931771215.15,428978.68,338162.18,308910.61,124495.37,2000,1335331229,2,,,,,,
Sequential,462536.36,467230.49,992541.66,4694.12,5,46.06,120,-219.63,-590.95,318.66,1,0.00,8791640642195.98,462536.36,462536.36,992541.66,992541.66,2000,1335331229,2,0.00,0.00,1000.00,1000.00,467230.49,
Proposed,453428.90,457239.64,523218.50,3810.75,6,30.67,95,-278.37,-273.55,393.72,300,0.03,9047722725467.00,462049.53,429926.00,803015.84,411672.46,2000,1335331229,2,0.00,0.00,1000.00,1000.00,,30.00
Baseline,406131.28,407433.00,207208.36,1301.72,6,12.15,95,-183.47,31.37,606.80,286,0.02,8506640302227.16,428356.71,340666.25,396490.52,128462.07,2000,1836123013,3,,,,,,
Sequential,462569.67,467039.85,735361.00,4470.18,6,43.10,95,-686.05,299.42,310.68,1,0.00,8911237699268.19,462569.67,462569.67,735361.00,735361.00,2000,1836123013,3,0.00,0.00,1000.00,1000.00,467039.85,
Proposed,454600.06,459096.48,638806.04,4496.41,6,37.44,95,-1887.74,580.24,409.96,298,0.03,8948395874670.73,460782.28,444336.88,934422.04,575749.37,2000,1836123013,3,0.00,0.00,1000.00,1000.00,,30.00
Baseline,418926.46,420417.47,230371.40,1491.01,8,18.33,70,-328.56,-386.57,616.80,299,0.02,8543157684195.32,430392.28,354284.87,376042.95,138548.24,2000,964307738,4,,,,,,
