Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Sequential,463018.30,467161.53,560574.72,4143.23,8,44.60,70,-66.40,373.80,295.26,1,0.00,9000809694314.29,463018.30,463018.30,560574.72,560574.72,2000,964307738,4,0.00,0.00,1000.00,1000.00,467161.53,
Proposed,461315.61,465794.54,768670.92,4478.93,6,45.06,95,-500.91,-2256.08,424.37,297,0.05,8951770996245.18,461559.38,450647.80,1278336.59,603296.04,2000,964307738,4,0.00,0.00,1000.00,1000.00,,30.00
Baseline,414710.37,415898.27,223883.56,1187.89,6,13.12,95,-126.26,-70.32,607.50,300,0.02,8594862396098.09,432792.66,336743.32,390470.82,126854.03,2000,954575845,5,,,,,,
Sequential,461895.72,467083.83,839136.21,5188.10,4,38.94,120,-1291.02,-277.55,328.31,1,0.00,8850321049819.17,461895.72,461895.72,839136.21,839136.21,2000,954575845,5,0.00,0.00,1000.00,1000.00,467083.83,
Proposed,458435.60,462463.04,659374.48,4027.44,6,38.65,95,-151.99,1314.85,424.00,298,0.03,8992592738156.25,461417.25,447708.80,1250049.59,505667.01,2000,954575845,5,0.00,0.00,1000.00,1000.00,,30.00
Baseline,402074.03,403156.26,190837.48,1082.24,6,11.19,95,-277.04,-24.30,607.32,300,0.03,8365395874124.22,421041.16,337085.84,365153.60,122101.30,2000,1106937208,6,,,,,,
Sequential,463346.39,467602.66,690923.38,4256.28,6,40.50,95,230.17,316.41,310.72,1,0.00,8946790884319.98,463346.39,463346.39,690923.38,690923.38,2000,1106937208,6,0.00,0.00,1000.00,1000.00,467602.66,
Proposed,458091.19,461886.39,591667.00,3795.20,6,34.68,95,-571.95,1024.66,424.20,300,0.03,9032011159674.33,462122.81,438244.68,1281394.07,450595.12,2000,1106937208,6,0.00,0.00,1000.00,1000.00,,30.00
Baseline,403581.56,404729.40,197884.90,1147.85,6,11.60,95,101.61,-125.15,604.46,297,0.02,8582917703645.59,431890.83,330133.88,350429.14,110636.93,2000,676198757,7,,,,,,
Sequential,463445.08,467547.49,718782.84,4102.41,6,42.13,95,-97.50,164.36,310.96,1,0.00,8935785219266.14,463445.08,463445.08,718782.84,718782.84,2000,676198757,7,0.00,0.00,1000.00,1000.00,467547.49,
Proposed,454234.47,458145.70,531254.55,3911.23,6,31.14,95,-1057.77,-633.43,393.80,296,0.03,9040321211918.91,463022.58,438789.22,790862.90,470446.77,2000,676198757,7,0.00,0.00,1000.00,1000.00,,30.00
Baseline,406176.82,407539.41,180545.86,1362.59,8,14.36,70,-49.15,347.06,606.50,283,0.03,8547312413506.14,430171.26,325909.85,418376.71,119293.91,2000,1988324038,8,,,,,,
Sequential,463107.73,467150.30,678234.85,4042.57,6,39.76,95,697.01,533.70,311.46,1,0.00,8948058761208.10,463107.73,463107.73,678234.85,678234.85,2000,1988324038,8,0.00,0.00,1000.00,1000.00,467150.30,
Proposed,456394.47,460363.89,691974.28,3969.42,6,40.56,95,-282.75,1659.73,426.17,298,0.04,8974213483665.34,461286.71,446236.41,1272405.74,538998.82,2000,1988324038,8,0.00,0.00,1000.00,1000.00,,30.00
Baseline,411892.54,413165.45,190828.44,1272.92,8,15.18,70,-102.91,382.14,599.53,289,0.02,8580374085327.11,431686.35,335613.77,282652.15,111050.12,2000,1324678522,9,,,,,,
Sequential,462712.34,466892.53,576841.14,4180.19,8,45.89,70,95.25,139.57,295.13,1,0.00,8987335287653.29,462712.34,462712.34,576841.14,576841.14,2000,1324678522,9,0.00,0.00,1000.00,1000.00,466892.53,
Proposed,459402.14,463195.92,600930.39,3793.78,9,47.81,70,-1389.15,752.15,424.94,299,0.03,8995095721464.64,461526.86,453066.21,1269137.52,507392.16,2000,1324678522,9,0.00,0.00,1000.00,1000.00,,30.00
Baseline,401121.11,402427.02,176641.64,1305.91,8,14.05,70,-230.98,484.94,616.97,289,0.02,8596086165676.02,432748.00,323731.80,326404.74,121798.29,2000,1393424145,10,,,,,,
Sequential,463085.55,467102.50,711608.71,4016.95,6,41.71,95,-112.34,-983.98,311.45,1,0.00,8932175240174.60,463085.55,463085.55,711608.71,711608.71,2000,1393424145,10,0.00,0.00,1000.00,1000.00,467102.50,
Proposed,456662.10,460182.70,577192.64,3520.60,6,33.83,95,624.70,-339.08,401.65,299,0.02,9013307196756.77,462159.14,436781.63,837410.91,493091.98,2000,1393424145,10,0.00,0.00,1000.00,1000.00,,30.00
Baseline,394630.04,395821.03,168285.41,1190.99,6,9.86,95,29.06,359.96,591.71,288,0.02,8373274790002.67,421129.16,335199.73,252766.89,107326.22,2000,1685490314,11,,,,,,
Sequential,463090.77,466733.59,683525.10,3642.82,6,40.07,95,-824.03,-394.91,311.18,1,0.00,8945281213749.80,463090.77,463090.77,683525.10,683525.10,2000,1685490314,11,0.00,0.00,1000.00,1000.00,466733.59,
Proposed,457892.02,462281.88,724368.59,4389.86,6,42.46,95,-2457.03,827.00,427.43,298,0.04,8948649374343.95,460571.20,453258.90,1384046.44,565762.80,2000,1685490314,11,0.00,0.00,1000.00,1000.00,,30.00
Baseline,397055.92,398182.85,157067.92,1126.93,8,12.50,70,-157.63,-6.42,606.11,297,0.03,8746927288213.96,440033.90,312590.44,352872.01,104614.64,2000,1991981276,12,,,,,,
Sequential,463031.53,467220.29,709649.90,4188.76,6,41.60,95,-697.43,-48.33,311.21,1,0.00,8932040316649.15,463031.53,463031.53,709649.90,709649.90,2000,1991981276,12,0.00,0.00,1000.00,1000.00,467220.29,
Proposed,459635.56,463974.86,590074.38,4339.30,8,46.95,70,-1097.91,1716.99,385.99,284,0.03,9023815358582.35,462405.93,451282.89,737572.22,482566.04,2000,1991981276,12,0.00,0.00,1000.00,1000.00,,30.00
Baseline,396482.15,397667.05,166695.95,1184.91,8,13.26,70,-429.45,254.22,606.17,295,0.02,8630031148467.98,434277.51,312602.77,288377.16,112649.10,2000,261043180,13,,,,,,
Sequential,462875.35,467072.65,888184.88,4197.30,5,41.22,120,-67.84,96.51,318.43,1,0.00,8846388142831.74,462875.35,462875.35,888184.88,888184.88,2000,261043180,13,0.00,0.00,1000.00,1000.00,467072.65,
Proposed,459137.87,463788.54,720077.22,4650.67,6,42.21,95,-3058.42,580.47,426.87,299,0.03,9001632857335.43,461446.57,444073.11,1299297.35,487005.23,2000,261043180,13,0.00,0.00,1000.00,1000.00,,30.00
Baseline,405144.44,406528.03,199289.74,1383.58,6,11.68,95,167.43,553.79,604.15,300,0.02,8594126348338.55,432399.98,327166.15,308889.13,107732.46,2000,1186830838,14,,,,,,
Sequential,462601.60,467030.76,701953.22,4429.16,6,41.15,95,232.41,390.61,310.34,1,0.00,8927307358793.58,462601.60,462601.60,701953.22,701953.22,2000,1186830838,14,0.00,0.00,1000.00,1000.00,467030.76,
Proposed,458892.30,463993.03,714413.42,5100.73,6,41.88,95,-1413.54,2890.87,423.48,297,0.03,8993731803058.15,461512.96,444019.85,1244769.51,507881.79,2000,1186830838,14,0.00,0.00,1000.00,1000.00,,30.00
Baseline,396033.96,397178.45,191825.35,1144.49,6,11.24,95,-122.89,90.59,610.67,293,0.03,8397185934704.93,422704.87,343169.14,333481.72,122826.52,2000,173196475,15,,,,,,
Sequential,463536.02,467560.51,874004.63,4024.48,5,40.56,120,-805.99,-345.22,319.40,1,0.00,8865587839210.68,463536.02,463536.02,874004.63,874004.63,2000,173196475,15,0.00,0.00,1000.00,1000.00,467560.51,
Proposed,460249.75,465701.74,847579.82,5451.99,4,39.33,120,-3807.59,-1979.38,427.63,299,0.04,8961919850110.73,462396.99,452394.57,1286729.04,613700.33,2000,173196475,15,0.00,0.00,1000.00,1000.00,,30.00
Baseline,402642.20,403757.54,165961.00,1115.34,8,13.20,70,6.80,-161.24,603.52,298,0.03,8384159217034.32,421827.54,310610.06,274855.76,113019.17,2000,417187979,16,,,,,,
Sequential,462733.14,466817.19,679155.50,4084.05,6,39.81,95,-206.80,-161.49,310.78,1,0.00,8940394981765.17,462733.14,462733.14,679155.50,679155.50,2000,417187979,16,0.00,0.00,1000.00,1000.00,466817.19,
Proposed,459569.08,464899.42,829416.56,5330.33,4,38.49,120,-3166.11,1053.03,426.05,300,0.04,8932427154633.94,460873.05,445462.26,1302790.79,614637.29,2000,417187979,16,0.00,0.00,1000.00,1000.00,,30.00
Baseline,389312.04,390254.28,165165.21,942.24,6,9.68,95,-162.38,126.55,603.46,288,0.03,8241096588008.33,415040.21,347674.09,246101.18,137881.09,2000,1981917434,17,,,,,,
Sequential,462842.00,467357.65,716216.80,4515.64,6,41.98,95,121.21,258.32,311.13,1,0.00,8925344866066.47,462842.00,462842.00,716216.80,716216.80,2000,1981917434,17,0.00,0.00,1000.00,1000.00,467357.65,
Proposed,458216.93,462461.71,685776.19,4244.78,6,40.20,95,-1142.89,-2049.62,426.46,300,0.04,8949023133692.29,462006.69,452266.53,1281794.29,627441.94,2000,1981917434,17,0.00,0.00,1000.00,1000.00,,30.00
Baseline,412918.47,414286.89,196560.16,1368.41,8,15.64,70,-220.99,314.25,615.50,297,0.02,8561849149111.62,431030.29,342105.85,304223.63,125153.51,2000,2142822424,18,,,,,,
Sequential,462869.62,467075.02,747888.25,4205.40,6,43.84,95,-148.97,645.07,311.00,1,0.00,8911217662493.10,462869.62,462869.62,747888.25,747888.25,2000,2142822424,18,0.00,0.00,1000.00,1000.00,467075.02,
Proposed,453920.24,458508.33,611137.16,4588.09,4,28.36,120,-350.55,3047.94,410.59,299,0.03,8976194785780.71,460702.86,438663.28,905888.64,510471.53,2000,2142822424,18,0.00,0.00,1000.00,1000.00,,30.00
Baseline,414720.91,415991.16,205040.00,1270.25,8,16.31,70,287.92,-101.13,602.09,296,0.03,8602708892620.28,433041.07,339016.76,397675.78,124563.82,2000,389850822,19,,,,,,
Sequential,463739.66,467661.10,813442.25,3921.44,5,37.75,120,-223.49,-77.99,318.63,1,0.00,8897567767387.14,463739.66,463739.66,813442.25,813442.25,2000,389850822,19,0.00,0.00,1000.00,1000.00,467661.10,
Proposed,460311.68,464307.87,659198.30,3996.19,6,38.64,95,-1530.56,-831.70,404.17,299,0.02,9031654557955.69,463062.61,447853.50,804707.42,491522.18,2000,389850822,19,0.00,0.00,1000.00,1000.00,,30.00
Baseline,406033.58,407453.14,224343.58,1419.56,6,13.15,95,174.83,-366.32,608.71,299,0.02,8518611052993.91,428775.47,335321.61,402405.56,115829.92,2000,1087953542,20,,,,,,
Sequential,463540.93,467573.48,579743.26,4032.55,8,46.13,70,-37.74,-15.26,295.62,1,0.00,9002083886413.92,463540.93,463540.93,579743.26,579743.26,2000,1087953542,20,0.00,0.00,1000.00,1000.00,467573.48,
Proposed,460819.10,465083.21,579036.17,4264.11,8,46.07,70,1943.63,-185.79,399.00,293,0.05,8999914404185.67,461953.38,457950.16,734834.46,516947.21,2000,1087953542,20,0.00,0.00,1000.00,1000.00,,30.00
