Method,AEP_Liquido_MWh,AEP_Bruto_MWh,Custo_Total_USD,Perdas_Joule_MWh,N_Grupos,Comprimento_Total_km,Secao_Cabo_mm2,Substation_X_m,Substation_Y_m,Time_Total_seconds,N_Solutions_Pareto,Spread,Hypervolume,AEP_Max_MWh,AEP_Min_MWh,Cost_Max_USD,Cost_Min_USD,N_Generations,Seed,Run,Time_Phase1_seconds,Time_Phase2_seconds,N_Generations_Phase1,N_Generations_Phase2,AEP_Bruto_Phase1_MWh,N_Top_Layouts_Phase1
Proposed,457504.17,463183.30,782538.72,5679.13,4,36.31,120,-1913.98,1718.95,675.35,296,0.03,8905062792645.36,460932.94,453653.93,914476.66,678590.18,1000,1022318414,12,0.00,0.00,500.00,500.00,,30.00
Baseline,394649.86,395870.39,190911.75,1220.53,6,11.19,95,-274.07,152.51,1017.14,297,0.02,8340091124455.93,419816.51,320209.33,301264.22,121653.35,1000,519204945,13,,,,,,
Sequential,462271.52,466634.21,575982.80,4362.69,8,45.83,70,268.43,480.31,475.20,1,0.00,8979169981583.21,462271.52,462271.52,575982.80,575982.80,1000,519204945,13,0.00,0.00,500.00,500.00,466634.21,
Proposed,456132.25,460713.15,676745.73,4580.90,6,39.67,95,-940.82,563.85,669.00,292,0.03,8924992169173.00,460327.26,448242.18,988311.72,609112.42,1000,519204945,13,0.00,0.00,500.00,500.00,,30.00
Baseline,400832.90,402224.53,199323.00,1391.63,8,15.86,70,92.00,18.36,1023.75,293,0.02,8318691378354.38,418590.82,332029.85,337029.22,115444.56,1000,1057916256,14,,,,,,
Sequential,463202.26,467219.45,681357.55,4017.19,6,39.94,95,-1077.55,-291.53,504.57,1,0.00,8948438870557.62,463202.26,463202.26,681357.55,681357.55,1000,1057916256,14,0.00,0.00,500.00,500.00,467219.45,
Proposed,458711.27,462451.30,616769.13,3740.03,6,36.15,95,-110.57,106.67,635.86,299,0.03,8992222771759.16,462274.82,450147.98,761878.30,546289.21,1000,1057916256,14,0.00,0.00,500.00,500.00,,30.00
Baseline,407188.11,408654.06,209836.46,1465.95,8,16.69,70,278.96,-89.72,995.31,287,0.03,8306853829535.36,418111.03,348919.14,340463.89,122683.80,1000,1125587645,15,,,,,,
Sequential,462478.88,467058.80,900264.77,4579.92,5,41.78,120,-60.45,-416.42,514.44,1,0.00,8833224118072.90,462478.88,462478.88,900264.77,900264.77,1000,1125587645,15,0.00,0.00,500.00,500.00,467058.80,
Proposed,455237.94,459074.37,606139.15,3836.43,6,35.53,95,-415.14,-235.67,678.59,299,0.03,8954590631235.55,461282.44,445985.86,828486.56,585422.74,1000,1125587645,15,0.00,0.00,500.00,500.00,,30.00
